"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1432 2012-09-06 673.170013 678.290024 670.800026 676.270004 97799100 89.853624 2.53732233333752 2.60874753929792
1433 2012-09-07 678.050018 682.480026 675.77002 680.43998 82416600 90.407674 2.50237747896136 2.58747352723061
1434 2012-09-10 680.45002 683.289978 662.100014 662.739975 121999500 88.055936 2.4742099149017 2.56482080476483
1435 2012-09-11 665.110016 670.099983 656.499992 660.590019 125995800 87.770279 2.24002516554827 2.49986167692151
1436 2012-09-12 666.849976 669.899979 656.000008 669.790016 178058300 88.992651 2.05189929305638 2.41026920014849
1437 2012-09-13 677.370003 685.500015 674.769997 682.980011 149590000 90.745159 2.00675579293634 2.32956651870606
1438 2012-09-14 689.959984 696.980011 687.889977 691.280014 150118500 91.847951 2.09768416899523 2.28319004876389
1439 2012-09-17 699.349998 699.799995 694.610023 699.780022 99507800 92.977318 2.25437975031775 2.27742798907466
1440 2012-09-18 699.879997 702.329987 696.419998 701.910004 93375800 93.260321 2.35527174937651 2.29299674113503
1441 2012-09-19 700.259979 703.989998 699.569977 702.100021 81718700 93.285568 2.40996669734674 2.31639073237737
1442 2012-09-20 699.159981 700.059975 693.619987 698.699997 84142100 92.833818 2.41097300567674 2.33530718703725
1443 2012-09-21 702.409988 705.070023 699.359985 700.089989 142897300 93.018502 2.42088477331099 2.352422704292
1444 2012-09-24 686.859993 695.119995 682.999985 690.790016 159941600 91.782847 2.21970938036185 2.32588003950597
1445 2012-09-25 688.260025 692.780022 673.000023 673.540009 129697400 89.490899 2.05306380442649 2.27131679249007
1446 2012-09-26 668.740005 672.690002 661.20002 665.179977 144125800 88.380131 1.6720871001598 2.15147085402402
1447 2012-09-27 664.290024 682.170006 660.350014 681.32 148522500 90.524599 1.30226066226811 1.98162881567284
1448 2012-09-28 678.750008 681.110008 666.75 667.100021 133777700 88.635241 1.16691537441942 1.81868612742215
1449 2012-10-01 671.159981 676.750015 656.499992 659.389992 135898700 87.610836 0.958574429465631 1.64666378783085
1450 2012-10-02 661.81002 666.349991 650.649979 661.309982 156998100 87.865938 0.674279865716887 1.45218700340806
1451 2012-10-03 664.860023 671.860023 662.630013 671.449974 106070300 89.213203 0.479479030019969 1.25764540873044
1452 2012-10-04 671.250023 674.249985 665.550026 666.799988 92681400 88.595376 0.396831484882298 1.08548262396081
1453 2012-10-05 665.200005 666.000023 651.280006 652.589996 148501500 86.707344 0.255891350949278 0.919564369358504
1454 2012-10-08 646.880013 647.559975 636.109993 638.170013 159498500 84.791412 -0.0755373699040107 0.720544021506001
1455 2012-10-09 638.650024 640.490013 623.550026 635.850014 209649300 84.483162 -0.434419582702039 0.489551300664393
1456 2012-10-10 639.739983 644.979996 637 640.909996 127589000 85.155464 -0.699554219815934 0.251730196568328
1457 2012-10-11 646.499977 647.20002 628.099983 628.099983 136520300 83.453442 -0.818919631031834 0.0376002310482955
1458 2012-10-12 629.55999 635.37999 625.300026 629.710007 115003700 83.66736 -1.1097563645577 -0.191871088072904
1459 2012-10-15 632.350014 635.129997 623.850006 634.760002 108125500 84.338336 -1.29305284703515 -0.412107439865353
1460 2012-10-16 635.370003 650.300011 631.000023 649.789986 137442900 86.335317 -1.38625899312109 -0.606937750516501
1461 2012-10-17 648.870018 652.790001 644 644.610001 97259400 85.64707 -1.27819339561541 -0.741188879536283
1462 2012-10-18 639.590019 642.059982 630 632.640007 119156100 84.056659 -1.29313134967042 -0.85157737356311
1463 2012-10-19 631.050011 631.769974 609.619987 609.840019 186021500 81.027305 -1.39593602227759 -0.960449103306006
